N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,M3
0.0711,0.0171,9.071191623,2.158103974,10.53390403,0.655286166,6.8001,5.1001,0.795127811,0.769556391,1.040064361,0.5927910679999999,9.502812418,10.92765497,RAISE
0.0701,0.0181,9.597844154,1.462712403,10.53390403,0.8406630759999999,7.2001,5.4001,0.861142422,0.525969341,1.103647747,0.48371422,9.890386635,11.25701905,RAISE
0.0691,0.0191,9.759630596,0.936059873,10.53390403,1.312335102,7.6001,5.7001,0.911138371,0.341440956,1.48305558,0.4673315939999999,9.946842571,11.60061863,RAISE
0.0681,0.0201,10.13516078,0.77427343,10.53390403,2.085257766,8.0001,6.0001,0.926497011,0.284615701,2.227565616,0.587820974,10.29001547,12.65988893,RAISE
0.0671,0.0211,9.92119163,0.398743246,10.53390403,2.617979744,8.4001,6.3001,0.962146679,0.152980136,2.694469812,0.61538403,10.00094028,12.77190016,RAISE
0.0661,0.0221,4.427472974,0.612712396,10.53390403,4.976230556,8.8001,6.6001,0.941834253,0.227669339,5.090065225,1.131847714,4.550015453,9.753915348,RAISE
0.0651,0.0231,5.304135335,6.1064310520000005,10.53390403,1.445204308,9.2001,6.9001,0.420306941,2.150270868,2.520339742,1.579203383,6.525421545,10.12089672,RAISE
0.0641,0.0241,5.819655276000001,5.229768691,10.53390403,0.173722926,9.6001,7.2001,0.503529871,1.843239042,1.095342447,1.14068801,6.865609014,8.882570982,RAISE
0.0631,0.0251,6.795804437,4.71424875,10.53390403,0.222558802,10.0001,7.5001,0.552468986,1.662607063,1.053862333,1.042075998,7.738654187000001,9.623820052,RAISE
0.0621,0.0261,6.987662589,3.738099589,10.53390403,0.288309116,10.4001,7.8001,0.645136354,1.320754856,0.948686544,0.8501147370000001,7.735282507000001,9.344346479,RAISE
0.0611,0.0271,7.667741563,3.546241437,10.53390403,0.373861767,10.8001,8.1001,0.663349749,1.253404503,1.000564018,0.826815055,8.37698985,10.00425612,RAISE
0.0601,0.0281,8.572908437999999,2.866162463,10.53390403,0.43244329,11.2001,8.4001,0.72791071,1.015176862,0.940031721,0.695594775,9.146140931,10.59376108,RAISE
0.0591,0.0291,8.965682752000001,1.960995588,10.53390403,0.598215108,11.6001,8.7001,0.813839619,0.698168456,0.947299336,0.538544095,9.35788187,10.65426543,RAISE
0.0581,0.0301,9.808041152,1.568221274,10.53390403,0.914401114,12.0001,9.0001,0.851126299,0.5604974460000001,1.194649837,0.51917869,10.12168541,11.59658397,RAISE
0.0571,0.0311,9.950454837,0.725862874,10.53390403,1.250849139,12.4001,9.3001,0.931092701,0.265472006,1.3835851419999998,0.409453031,10.09562741,11.61194856,RAISE
0.0561,0.0321,6.69025861,0.583449189,10.53390403,2.741689979,12.8001,9.6001,0.944612255,0.215427216,2.849403587,0.677594325,6.806948447999999,9.764065643,RAISE
0.0551,0.0331,7.153139836,3.843645416,10.53390403,2.293347471,13.2001,9.9001,0.635116723,1.356295896,2.971495419,1.272447032,7.921868919,11.57151229,RAISE
0.0541,0.0341,7.81796686,3.38076419,10.53390403,0.372206021,13.6001,10.2001,0.679058763,1.194087467,0.969249754,0.790893684,8.494119697999999,10.06041319,RAISE
0.0531,0.0351,8.005158195,2.715937166,10.53390403,0.4624970229999999,14.0001,10.5001,0.742171833,0.961198008,0.943096027,0.669218209,8.548345628,9.972040659,RAISE
0.0521,0.0361,8.411113546000001,2.528745831,10.53390403,0.589495095,14.4001,10.8001,0.759942199,0.8954810409999999,1.037235615,0.655187644,8.916862712,10.40183885,RAISE
0.0511,0.0371,8.767442162,2.12279048,10.53390403,0.665239934,14.8001,11.1001,0.798480176,0.753196668,1.041838268,0.584965988,9.192000258,10.61043686,RAISE
0.0511,0.0381,9.509926077,1.766461864,10.53390403,0.8260299109999999,15.2001,11.4001,0.83230701,0.6284816520000001,1.140270737,0.5422949739999999,9.86321845,11.31773001,RAISE
0.0511,0.0391,9.900119198,1.023977949,10.53390403,1.076720225,15.6001,11.7001,0.90279217,0.368612282,1.2610263659999998,0.436511414,10.10491479,11.55024729,RAISE
0.0511,0.0401,10.35745156,0.633784828,10.53390403,1.933658671,16.0001,12.0001,0.939833814,0.23204469,2.049681016,0.525958548,10.48420853,12.64991189,RAISE
0.0511,0.0411,5.534475407,0.176452462,10.53390403,3.268444151,16.4001,12.3001,0.983249092,0.071978362,3.304433332,0.696875847,5.569765899,8.910188412,HOLD
0.0711,0.0411,6.096694267999999,4.999428619,10.53390403,6.273049812999999,16.4001,12.3001,0.525396415,1.7640200169999998,7.155059821,2.313021973,7.096579992000001,15.13364982,RAISE
0.0911,0.0421,6.402398311000001,4.437209758,10.53390403,0.243895642,16.8001,12.6001,0.578768731,1.571243415,1.02951735,0.991525178,7.289840262999999,9.10497932,RAISE
0.0901,0.0431,7.371938666,4.131505715,10.53390403,0.288577672,17.2001,12.9001,0.607789695,1.464047,1.020601172,0.936143735,8.198239809,9.950864481,RAISE
0.0891,0.0441,8.350228552999999,3.16196536,10.53390403,0.3568645029999999,17.6001,13.2001,0.699829678,1.124507876,0.919118441,0.7460776259999999,8.982621625,10.463994,RAISE
0.0881,0.0451,8.864752809,2.183675473,10.53390403,0.528166985,18.0001,13.5001,0.792700269,0.781906416,0.919120193,0.574777246,9.301487904,10.611561300000002,RAISE
0.0871,0.0461,9.031641438,1.6691512169999998,10.53390403,0.811911195,18.4001,13.8001,0.841544862,0.601622926,1.112722658,0.523355995,9.365471681,10.7790058,RAISE
0.0861,0.0471,9.318446298,1.502262588,10.53390403,1.082183729,18.8001,14.1001,0.857387861,0.543011906,1.353689682,0.542243889,9.618898816,11.24409445,RAISE
0.0851,0.0481,9.633013146,1.215457728,10.53390403,1.240588213,19.2001,14.4001,0.884614695,0.442430205,1.461803315,0.513575765,9.876104692,11.55912311,RAISE
0.0841,0.0491,6.450800213,0.900890881,10.53390403,1.585084026,19.6001,14.7001,0.914477018,0.332131808,1.75114993,0.51629589,6.630978389,8.548194224,RAISE
0.0831,0.0501,6.745422232999999,4.083103813,10.53390403,1.432093576,20.0001,15.0001,0.612384563,1.445706335,2.154946743,1.153842516,7.562042996000001,10.43984291,RAISE
0.0821,0.0511,7.161279732000001,3.788481794,10.53390403,0.3304066,20.4001,15.3001,0.640353492,1.342388628,1.001600914,0.871514497,7.918976091,9.591771319,RAISE
0.0811,0.0521,7.858317435,3.372624294,10.53390403,0.378055386,20.8001,15.6001,0.6798314959999999,1.196638503,0.976374637,0.7935941790000001,8.532842294,10.10753618,RAISE
0.0801,0.0531,8.290464848,2.675586591,10.53390403,0.466006098,21.2001,15.9001,0.746002376,0.952475307,0.942243751,0.664686404,8.825582166,10.24406357,RAISE
0.0791,0.0541,9.276912517,2.243439178,10.53390403,0.619711945,21.6001,16.2001,0.787026807,0.801023712,1.020223801,0.604556616,9.725600353,11.14633601,RAISE
0.0781,0.0551,9.303365616,1.256991509,10.53390403,0.8270259879999999,22.0001,16.5001,0.880671828,0.455567028,1.054809502,0.438745414,9.554763918,10.83735693,RAISE
0.0781,0.0561,9.836897685,1.23053841,10.53390403,1.480259103,22.4001,16.8001,0.8831830620000001,0.4463084439999999,1.703413325,0.563836887,10.08300537,12.00957291,RAISE
0.0781,0.0571,3.132125074,0.6970063409999999,10.53390403,1.598795715,22.8001,17.1001,0.933832097,0.259572219,1.728581825,0.475502475,3.271526342,5.129894277,RAISE
0.0781,0.0581,3.455789476,7.401778952000001,10.53390403,0.898736465,23.2001,17.4001,0.297337537,2.606242633,2.201857782,1.743492873,4.9361452660000005,8.441124365,RAISE
0.0781,0.0591,4.053327145,7.07811455,10.53390403,0.093377268,23.6001,17.7001,0.328063505,2.492960093,1.339857314,1.514451509,5.468950055,8.055287416,RAISE
0.0781,0.0601,4.082991668,6.480576881,10.53390403,0.1145312669999999,24.0001,18.0001,0.384788691,2.283821908,1.256442221,1.393199398,5.379107044,7.77746022,RAISE
